0,1,2,Diff,3,Diff,4,Diff,5,Diff,6,Diff,7,Diff,8,Diff,9,Diff,10,Diff,11,Diff,12,Diff,13,Diff,14,Diff
[CH2]CC,24.09,25.87,1.78,23.98102339,0.108976607,23.9375,0.1525,24.05699196,0.033008042,24.01392857,0.076071429,24.2683786,0.178378598,24.40814273,0.318142733,24.29720294,0.207202943,24.15357143,0.063571429,24.29565645,0.205656448,24.39859878,0.308598782,24.07088725,0.019112752,23.94071429,0.149285714
[CH2]CCC,18.7,21.45,2.75,19.15840179,0.458401793,19.2244,0.5244,19.22209557,0.522095568,19.35083333,0.650833333,19.25252138,0.552521384,19.17841601,0.478416014,19.42303789,0.723037892,19.45666667,0.756666667,19.37253199,0.672531988,19.28145949,0.581459493,19.21672571,0.516725713,19.37798123,0.677981232
[CH3],34.98,35.67,0.69,35.14252877,0.162528774,34.92894737,0.051052632,35.14717932,0.167179322,34.80222222,0.177777778,35.14548482,0.165484819,35.34703597,0.367035966,35.20613265,0.226132652,34.97388889,0.006111111,35.01389218,0.033892175,35.34703597,0.367035966,34.99809958,0.018099578,34.7555,0.2245
[CH],142.48,142.48,0,141.9375713,0.542428728,142.1168764,0.363123631,141.8796402,0.600359791,141.9158631,0.564136921,141.7535409,0.726459119,141.4623822,1.017617767,141.6632331,0.81676685,141.8887264,0.591273582,141.6534149,0.826585087,141.4623822,1.017617767,141.7893023,0.690697667,141.6750483,0.804951747
[CH]1C=C1,116.26,118.37,2.11,116.3723703,0.112370293,116.1148707,0.145129328,116.0362041,0.223795931,115.985214,0.274785974,116.4615518,0.201551753,116.5734438,0.313443839,116.217175,0.042824965,116.3672222,0.107222222,116.4391281,0.179128137,116.5533686,0.293368633,116.321933,0.061932989,116.4272687,0.167268725
[CH]1CC1,69.36,71.72,2.36,69.97844819,0.618448192,69.88318919,0.523189195,69.83263523,0.47263523,69.68388863,0.323888629,69.73481365,0.374813649,69.78186491,0.421864907,69.80782302,0.447823017,69.58105263,0.221052632,69.70646488,0.346464885,69.76408713,0.404087129,69.73213236,0.372132362,69.35022136,0.009778635
[CH]=C,70.96,71.98,1.02,70.92335218,0.036647819,70.87390041,0.086099586,70.91419452,0.045805476,70.86995456,0.090045438,70.86392764,0.096072363,70.82621664,0.133783363,70.86839231,0.091607688,70.69576923,0.264230769,70.72073247,0.239267528,70.82621664,0.133783363,70.7206246,0.239375398,70.68875,0.27125
[CH]=C=[CH],130.5879541,132.0493,1.4613459,130.421049,0.16690514,130.6174656,0.029511549,130.2051987,0.382755368,130.6403703,0.052416157,130.6761157,0.088161608,130.664205,0.07625093,130.3352988,0.252655274,130.3576395,0.230314565,130.6127434,0.024789261,130.6623404,0.0743863,130.4193341,0.168619973,130.9396917,0.351737644
[CH]=CC,64.34,66,1.66,64.20507567,0.134924331,64.31456332,0.025436681,64.28298777,0.057012228,64.41550542,0.075505419,64.34898916,0.008989156,64.31934273,0.020657267,64.2781373,0.061862695,64.32,0.02,64.32201372,0.017986276,64.41733213,0.077332131,64.20680354,0.133196455,64.34106858,0.001068583
[CH]C,84.71558317,86.1378,1.42221683,85.02037574,0.304792568,84.44907476,0.266508406,85.00244963,0.286866463,84.91123943,0.195656257,85.07028315,0.354699983,85.33091274,0.615329566,85.00295184,0.287368671,85.15928097,0.443697797,84.99780702,0.282223852,85.31242122,0.596838051,84.95618082,0.240597646,85.19576252,0.48017935
[C],171.34,171.22,0.12,170.2932966,1.046703391,171.642567,0.302566968,170.3136645,1.026335472,171.1604382,0.17956184,170.5966167,0.743383294,170.5181769,0.8218231,170.3316635,1.008336459,171.9685355,0.62853552,170.211997,1.128003039,170.5181769,0.8218231,170.3488182,0.991181847,171.39071,0.05071002
[C]#C,135.75,137.01,1.26,135.6567924,0.093207555,135.2306667,0.519333333,135.7436424,0.006357615,135.2656615,0.484338531,135.6139359,0.136064106,135.290709,0.459290973,135.7047389,0.045261104,135.4275,0.3225,135.4979759,0.252024114,135.290709,0.459290973,135.7140466,0.035953424,135.2513333,0.498666667
[C]=C,98.51816444,99.9501,1.43193556,98.71009808,0.191933644,98.94937396,0.431209517,98.81060716,0.292442716,99.19377486,0.675610422,98.90767421,0.389509771,99.67484457,1.156680129,98.76683493,0.248670491,98.71100306,0.19283862,98.7989567,0.280792259,99.67484457,1.156680129,98.7007037,0.182539263,99.14511703,0.626952594
[C]=C=C,132.7891969,134.2872,1.4980031,132.8594663,0.070269368,132.8113352,0.022138341,132.8585687,0.06937181,133.2586048,0.46940785,132.9213964,0.132199471,132.8961022,0.10690529,132.6187399,0.170456964,132.6593802,0.129816741,132.8570584,0.067861471,133.0141022,0.22490529,132.7522324,0.036964462,133.4256618,0.636464897
[C]=C=[CH],172.6338432,174.1532,1.5193568,172.390119,0.243724154,172.8977762,0.263932977,172.4398374,0.194005822,172.7046256,0.070782441,172.6040645,0.029778744,171.9323357,0.7015075,172.2214601,0.412383124,171.6633855,0.97045769,172.5235326,0.110310596,171.8847153,0.7491279,171.9012543,0.732588937,171.9223357,0.7115075
[C]=C=[C],196.8164436,198.1966,1.3801564,196.8652531,0.048809468,197.2697257,0.453282062,196.7945105,0.021933092,197.0151278,0.198684168,196.9021703,0.085726726,197.3900178,0.57357418,196.8979711,0.081527514,197.7426742,0.92623064,196.6389662,0.177477449,196.8878164,0.071372768,196.6400669,0.176376713,197.0529269,0.236483302
[C]=[C],198.0592734,197.3527,0.7065734,196.2772458,1.78202758,196.4569505,1.602322853,196.2098527,1.849420712,196.1588922,1.900381197,196.3791283,1.680145084,195.922306,2.136967372,196.1762153,1.883058123,196.7192624,1.340011,195.9787682,2.080505218,195.922306,2.136967372,196.1889186,1.87035484,196.5217417,1.537531692
[C]C,120.6692161,121.6585,0.9892839,120.593675,0.075541078,121.0795,0.4102839,120.5112968,0.157919282,120.8844975,0.215281398,120.5382272,0.130988879,120.0451478,0.6240683,120.2745118,0.394704295,121.1507573,0.48154118,120.3694324,0.299783724,120.1812022,0.488013938,120.4184726,0.250743516,120.5595121,0.109704038
[HH],-0.01,-1.09,1.08,-0.964297821,0.954297821,0,0,-0.942395833,0.932395833,0,0,-0.99457594,0.98457594,0,0,-0.898514555,0.888514555,0,0,-0.824547648,0.814547648,0,0,-0.934729458,0.924729458,0,0
[H],52.1,52.1,0,52.21377315,0.113773148,0,0,52.11761094,0.01761094,0,0,52.44003297,0.340032969,0,0,52.06380784,0.036192159,0,0,52.33162432,0.23162432,0,0,51.96931713,0.130682867,0,0
,,,2.082269785,,0.387230579,,0.407159944,,0.424692849,,0.414388797,,0.381005454,,0.505894542,,0.402564355,,0.500709133,,0.411779378,,0.475284191,,0.422438854,,0.4281211
